node.ID,node.`closeness`,node.DEST,node.ORIG
831,0.46692607,"139.7900611,35.8206847",
1110,0.46692607,"139.7758682,35.76415097",
696,0.466472303,"139.5448808,35.36683886",
764,0.466472303,"139.5265827,35.33599046",
24361,0.46624575,,"139.8083678,35.65666891"
708,0.466019417,"139.6125502,35.53834927",
727,0.466019417,"139.6126545,35.48153691",
821,0.465116279,"139.4819345,35.91278683",
926,0.465116279,"139.9252979,35.86798845",
1000,0.465116279,"139.6912048,35.87859421",
31889,0.464891041,,"139.6880793,35.7653754"
1141,0.464666021,"139.3821591,35.70648178",
48787,0.464441219,,"139.6300021,35.46052475"
997,0.464216634,"139.6756601,35.84958665",
1027,0.464216634,"139.7591421,35.60166381",
9157,0.463992267,,"139.7106939,35.611439"
24040,0.463992267,,"139.8144215,35.67064958"
895,0.463768116,"139.9087192,35.72820855",
896,0.463768116,"139.9156018,35.74906565",
917,0.463768116,"139.998844,35.77291836",
690,0.463320463,"139.5980343,35.45871925",
698,0.463320463,"139.5140858,35.42491423",
802,0.463320463,"139.7378956,35.82643164",
36010,0.463096961,,"139.8392082,35.74994195"
905,0.462873674,"140.029859,35.7054419",
33395,0.462650602,,"139.7356571,35.76131306"
43490,0.462650602,,"139.4649487,35.53898121"
1054,0.462427746,"139.8014049,35.73482344",
1191,0.462427746,"139.5801929,35.38025957",
806,0.461982676,"139.6898886,35.80907967",
832,0.461982676,"139.820469,35.85063848",
909,0.461982676,"140.0518759,35.75738445",
713,0.461538462,"139.5661259,35.50549086",
721,0.461538462,"139.6803914,35.52694797",
1172,0.461538462,"139.631663,35.44226483",
916,0.461095101,"139.9314831,35.77258065",
974,0.461095101,"139.5772602,35.92060729",
800,0.460652591,"139.7632373,35.83393362",
1189,0.460652591,"139.5946404,35.40134668",
930,0.46021093,"140.1207554,35.72509161",
1190,0.46021093,"139.5676947,35.40190062",
726,0.459770115,"139.6228524,35.47229081",
825,0.459770115,"139.4062636,35.86547228",
901,0.459770115,"140.0583783,35.69052951",
985,0.459770115,"139.6707518,35.91871222",
27017,0.459550024,,"139.6507129,35.68215948"
703,0.459330144,"139.4818747,35.47743863",
749,0.459330144,"139.5513062,35.59304079",
768,0.459330144,"139.4045614,35.33360942",
784,0.459330144,"139.4091837,35.48759376",
918,0.459330144,"139.9557081,35.85546061",
30154,0.459110473,,"139.6381256,35.64687005"
829,0.458891013,"139.8096585,35.82061715",
1062,0.458891013,"139.8310292,35.7175019",
907,0.458452722,"139.9807101,35.68395688",
1113,0.458452722,"139.8726048,35.74972744",
27561,0.45823389,,"139.6070025,35.69722391"
30657,0.45823389,,"139.6572866,35.73783977"
